,precision,recall,f1-score,support
41,0.720226843100189,0.8485523385300668,0.7791411042944786,449.0
accuracy,0.781841310224201,0.781841310224201,0.781841310224201,0.781841310224201
macro avg,0.7906946953828108,0.7818646963858545,0.7721697463843993,18867.0
weighted avg,0.7906810963588008,0.781841310224201,0.7721435656290763,18867.0
0,0.9387096774193548,0.6481069042316259,0.766798418972332,449.0
1,0.7343234323432343,0.9910913140311804,0.8436018957345972,449.0
2,0.948849104859335,0.8262806236080178,0.8833333333333333,449.0
3,0.9090909090909091,0.734966592427617,0.812807881773399,449.0
4,0.7373271889400922,0.35555555555555557,0.47976011994003,450.0
5,0.9143468950749465,0.9510022271714922,0.9323144104803494,449.0
6,0.5549348230912476,0.6636971046770601,0.6044624746450304,449.0
7,0.5589041095890411,0.9086859688195991,0.6921119592875318,449.0
